"순서","시설ID","컨텐츠 명","사용유무","테마 타입","x 좌표","y 좌표","좌표 배열","좌표타입","메인 이미지","새 주소","구 주소","우편번호","국가 지점 번호","테마 명","거리","업데이트 일","등록일","이미지 URL1","이미지 URL2","이미지 URL3","이미지 URL4","이미지 URL5","동영상 URL","음성파일 URL","평가 점수","평가자 인원","상세정보 이름 1","상세정보 값 1","상세정보 이름 2","상세정보 값 2","상세정보 이름 3","상세정보 값 3","상세정보 이름 4","상세정보 값 4","상세정보 이름 5","상세정보 값 5","상세정보 이름 6","상세정보 값 6","상세정보 이름 7","상세정보 값 7","상세정보 이름 8","상세정보 값 8","상세정보 이름 9","상세정보 값 9","상세정보 이름 10","상세정보 값 10"
"732","강동구_거치대_004","일반거치대","사용","일반","127.153406939","37.555490041","[127.153406939,37.555490041]","Point","","","서울특별시 강동구 고덕동 310","","다사69385073","(친환경)자전거 편의시설","17892.163656","2023-04-05 16:28:10","2023-04-03 16:06:22","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","지하철역|","상세위치(예, OO동 주민센터)","고덕역 1번 출구","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예, 00대)","25대","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예, O0학교 운영시간 외 이용불가 )","","강동구청 교통행정과","강동구청 교통행정과"
"733","강동구_거치대_005","일반거치대","사용","일반","127.154340727","37.554933939","[127.15434072735829,37.554933938834196]","Point","","서울특별시 강동구 고덕로 262","서울특별시 강동구 명일동 46-5","05269","다사69465067","(친환경)자전거 편의시설","17988.196966","2023-04-03 16:17:41","2023-04-03 16:17:41","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","지하철역|","상세위치(예, OO동 주민센터)","고덕역 4번 출구","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예, 00대)","94대","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예, O0학교 운영시간 외 이용불가 )","","강동구청 교동행정과","강동구청 교동행정과"
"734","강동구_거치대_006","일반거치대","사용","일반","127.154329343","37.554947426","[127.15432934332787,37.554947425816565]","Point","","서울특별시 강동구 고덕로 262","서울특별시 강동구 명일동 46-5","05269","다사69465067","(친환경)자전거 편의시설","17986.991008","2023-04-03 16:26:32","2023-04-03 16:26:32","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","지하철역|","상세위치(예, OO동 주민센터)","고덕역 4번 출구","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예, 00대)","26대","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예, O0학교 운영시간 외 이용불가 )","","강동구청 교동행정과","강동구청 교동행정과"
"735","강동구_거치대_007","일반거치대","사용","일반","127.143058674","37.545427136","[127.14305867399385,37.54542713586264]","Point","","서울특별시 강동구 양재대로 1566","서울특별시 강동구 명일동 345-12","05296","다사68464962","(친환경)자전거 편의시설","16940.151227","2023-04-03 16:38:10","2023-04-03 16:38:10","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","지하철역|","상세위치(예, OO동 주민센터)","길동 굽은다리역 4버 출구","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예, 00대)","15대","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예, O0학교 운영시간 외 이용불가 )","","강동구청 교동행정과","강동구청 교동행정과"
"736","강동구_거치대_008","일반거치대","사용","일반","127.143038445","37.545514957","[127.14303844472758,37.54551495684017]","Point","","서울특별시 강동구 양재대로 1570","서울특별시 강동구 명일동 345-12","05296","다사68464963","(친환경)자전거 편의시설","16937.172226","2023-04-03 16:42:45","2023-04-03 16:42:45","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","지하철역|","상세위치(예, OO동 주민센터)","굽은다리역 4번 출구","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예, 00대)","15대","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예, O0학교 운영시간 외 이용불가 )","","강동구청 교동행정과","강동구청 교동행정과"
"737","강동구_거치대_009","일반거치대","사용","일반","127.143047064","37.545487942","[127.1430470637669,37.54548794224033]","Point","","서울특별시 강동구 양재대로 1570","서울특별시 강동구 명일동 345-12","05296","다사68464963","(친환경)자전거 편의시설","16938.326323","2023-04-03 16:45:57","2023-04-03 16:45:57","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","지하철역|","상세위치(예, OO동 주민센터)","굽은다리역 4번 출구","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예, 00대)","10대","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예, O0학교 운영시간 외 이용불가 )","","강동구청 교통행정과","강동구청 교통행정과"
"738","강동구_거치대_010","일반거치대","사용","일반","127.143041318","37.545505952","[127.1430413177414,37.54550595197364]","Point","","서울특별시 강동구 양재대로 1570","서울특별시 강동구 명일동 345-12","05296","다사68464963","(친환경)자전거 편의시설","16937.556881","2023-04-03 16:51:32","2023-04-03 16:51:32","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","지하철역|","상세위치(예, OO동 주민센터)","굽은다리역 3번 출구","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예, 00대)","5대","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예, O0학교 운영시간 외 이용불가 )","","강동구청 교통행정과","강동구청 교통행정과"
"739","강동구_거치대_012","일반거치대","사용","일반","127.143276582","37.546022689","[127.1432765818006,37.546022688749176]","Point","","서울특별시 강동구 양재대로 1576","서울특별시 강동구 명일동 345-12","05296","다사68484969","(친환경)자전거 편의시설","16955.338155","2023-04-04 15:03:58","2023-04-04 15:03:58","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","지하철역|","상세위치(예, OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예, 00대)","8대","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예, O0학교 운영시간 외 이용불가 )","","강동구청 교통행정과","강동구청 교통행정과"
"740","강동구_거치대_014","일반거치대","사용","일반","127.140045796","37.537535634","[127.14004579637448,37.53753563440877]","Point","","서울특별시 강동구 양재대로 1476","서울특별시 강동구 길동 391-15","05351","다사68194875","(친환경)자전거 편의시설","16747.898440","2023-04-04 15:30:41","2023-04-04 15:30:41","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","지하철역|","상세위치(예, OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예, 00대)","10대","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예, O0학교 운영시간 외 이용불가 )","","강동구 교통행정과","강동구 교통행정과"
"741","강동구_거치대_015","일반거치대","사용","일반","127.140252512","37.538095105","[127.14025251190324,37.53809510520607]","Point","","서울특별시 강동구 양재대로 1484","서울특별시 강동구 길동 391-15","05351","다사68214881","(친환경)자전거 편의시설","16759.518887","2023-04-04 15:32:26","2023-04-04 15:32:26","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","지하철역|","상세위치(예, OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예, 00대)","20대","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예, O0학교 운영시간 외 이용불가 )","","강동구 교통행정과","강동구 교통행정과"
"742","강동구_거치대_016","일반거치대","사용","일반","127.140275215","37.538081654","[127.14027521488657,37.538081654022676]","Point","","서울특별시 강동구 양재대로 1484","서울특별시 강동구 길동 391-15","05351","다사68214881","(친환경)자전거 편의시설","16761.970726","2023-04-04 15:34:30","2023-04-04 15:34:30","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","지하철역|","상세위치(예, OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예, 00대)","20대","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예, O0학교 운영시간 외 이용불가 )","","강동구 교통행정과","강동구 교통행정과"
"743","강동구_거치대_017","일반거치대","사용","일반","127.140269490","37.538095157","[127.14026949042852,37.53809515692805]","Point","","서울특별시 강동구 양재대로 1484","서울특별시 강동구 길동 391-15","05351","다사68214881","(친환경)자전거 편의시설","16761.195239","2023-04-04 15:36:36","2023-04-04 15:36:36","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","지하철역|","상세위치(예, OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예, 00대)","15대","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예, O0학교 운영시간 외 이용불가 )","","강동구 교통행정과","강동구 교통행정과"
"744","강동구_거치대_018","일반거치대","사용","일반","127.139888438","37.537893444","[127.13988843807336,37.53789344377346]","Point","","서울특별시 강동구 양재대로 1477","서울특별시 강동구 길동 389-5","05353","다사68184879","(친환경)자전거 편의시설","16726.708789","2023-04-04 15:38:25","2023-04-04 15:38:25","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","지하철역|","상세위치(예, OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예, 00대)","15대","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예, O0학교 운영시간 외 이용불가 )","","강동구 교통행정과","강동구 교통행정과"
"745","강동구_거치대_019","일반거치대","사용","일반","127.139845894","37.537913595","[127.13984589433636,37.537913594545465]","Point","","서울특별시 강동구 양재대로 1477","서울특별시 강동구 길동 389-5","05353","다사68184879","(친환경)자전거 편의시설","16722.190866","2023-04-04 15:41:03","2023-04-04 15:41:03","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","지하철역|","상세위치(예, OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예, 00대)","20대","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예, O0학교 운영시간 외 이용불가 )","","강동구 교통행정과","강동구 교통행정과"
"746","강동구_거치대_020","일반거치대","사용","일반","127.139862786","37.537931673","[127.13986278612148,37.53793167318606]","Point","","서울특별시 강동구 양재대로 1479","서울특별시 강동구 길동 391-15","05342","다사68184879","(친환경)자전거 편의시설","16723.575635","2023-04-04 15:43:04","2023-04-04 15:43:04","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","지하철역|","상세위치(예, OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예, 00대)","5대","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예, O0학교 운영시간 외 이용불가 )","","강동구 교통행정과","강동구 교통행정과"
"747","강동구_거치대_021","일반거치대","사용","일반","127.139851532","37.537918119","[127.13985153215557,37.537918118520906]","Point","","서울특별시 강동구 양재대로 1477","서울특별시 강동구 길동 391-15","05353","다사68184879","(친환경)자전거 편의시설","16722.676712","2023-04-04 15:45:00","2023-04-04 15:45:00","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","지하철역|","상세위치(예, OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예, 00대)","10대","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예, O0학교 운영시간 외 이용불가 )","","강동구 교통행정과","강동구 교통행정과"
"748","강동구_거치대_022","일반거치대","사용","일반","127.136433021","37.527451903","[127.13643302056562,37.52745190273565]","Point","","서울특별시 강동구 양재대로 1369","서울특별시 강동구 둔촌동 170-1","05404","다사67874763","(친환경)자전거 편의시설","16584.914157","2023-04-04 15:47:56","2023-04-04 15:47:56","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","지하철역|","상세위치(예, OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예, 00대)","5대","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예, O0학교 운영시간 외 이용불가 )","","강동구 교통행정과","강동구 교통행정과"
"749","강동구_거치대_023","일반거치대","사용","일반","127.136387882","37.527424723","[127.13638788220352,37.52742472303923]","Point","","서울특별시 강동구 양재대로 1369","서울특별시 강동구 둔촌동 529-7","05404","다사67874763","(친환경)자전거 편의시설","16581.113973","2023-04-04 15:49:43","2023-04-04 15:49:43","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","지하철역|","상세위치(예, OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예, 00대)","16대","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예, O0학교 운영시간 외 이용불가 )","","강동구 교통행정과","강동구 교통행정과"
"750","강동구_거치대_024","일반거치대","사용","일반","127.136650737","37.528065496","[127.13665073701286,37.528065495998824]","Point","","서울특별시 강동구 양재대로 1368-1","서울특별시 강동구 둔촌동 170-1","05409","다사67894770","(친환경)자전거 편의시설","16592.694831","2023-04-04 15:51:30","2023-04-04 15:51:30","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","지하철역|","상세위치(예, OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예, 00대)","10대","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예, O0학교 운영시간 외 이용불가 )","","강동구 교통행정과","강동구 교통행정과"
"751","강동구_거치대_025","일반거치대","사용","일반","127.136616719","37.528078912","[127.13661671893651,37.52807891169848]","Point","","서울특별시 강동구 양재대로 1368-1","서울특별시 강동구 둔촌동 520-1","05409","다사67894770","(친환경)자전거 편의시설","16589.082697","2023-04-04 15:52:46","2023-04-04 15:52:46","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","지하철역|","상세위치(예, OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예, 00대)","30대","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예, O0학교 운영시간 외 이용불가 )","","강동구 교통행정과","강동구 교통행정과"
"752","강동구_거치대_026","일반거치대","사용","일반","127.136611060","37.528078894","[127.13661106018718,37.52807889428696]","Point","","서울특별시 강동구 양재대로 1368-1","서울특별시 강동구 둔촌동 520-1","05409","다사67894770","(친환경)자전거 편의시설","16588.530729","2023-04-04 15:54:32","2023-04-04 15:54:32","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","지하철역|","상세위치(예, OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예, 00대)","85대","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예, O0학교 운영시간 외 이용불가 )","","강동구 교통행정과","강동구 교통행정과"
"753","강동구_거치대_027","일반거치대","사용","일반","127.136622400","37.528074422","[127.1366224,37.528074422]","Point","","서울특별시 강동구 양재대로 1368-1","서울특별시 강동구 둔촌동 520-1","05409","다사67894770","(친환경)자전거 편의시설","16589.734838","2023-04-07 16:26:41","2023-04-04 15:56:09","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","지하철역|","상세위치(예, OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예, 00대)","30대","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예, O0학교 운영시간 외 이용불가 )","","강동구 교통행정과","강동구 교통행정과"
"754","강동구_거치대_028","일반거치대","사용","일반","127.136633936","37.528029390","[127.13663393565669,37.5280293900001]","Point","","서울특별시 강동구 양재대로 1368-1","서울특별시 강동구 둔촌동 520-1","05409","다사67894769","(친환경)자전거 편의시설","16591.840603","2023-04-04 15:57:34","2023-04-04 15:57:34","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","지하철역|","상세위치(예, OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예, 00대)","6대","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예, O0학교 운영시간 외 이용불가 )","","강동구 교통행정과","강동구 교통행정과"
"756","강동구_거치대_030","일반거치대","사용","일반","127.136157725","37.528208195","[127.136157725,37.528208195]","Point","","서울특별시 강동구 양재대로 1367","서울특별시 강동구 성내동 450-39","05404","다사67854771","(친환경)자전거 편의시설","16541.470585","2025-03-27 10:11:30","2023-04-04 16:02:24","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","지하철역|","상세위치(예, OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예, 00대)","5대","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예, O0학교 운영시간 외 이용불가 )","","강동구 교통행정과","강동구 교통행정과"
"757","강동구_거치대_031","일반거치대","사용","일반","127.135957076","37.527576627","[127.135957076,37.527576627]","Point","","서울특별시 강동구 양재대로 1355","서울특별시 강동구 성내동 450-40","05404","다사67834764","(친환경)자전거 편의시설","16535.739708","2025-03-27 10:09:33","2023-04-04 16:04:13","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","지하철역|","상세위치(예, OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예, 00대)","19대","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예, O0학교 운영시간 외 이용불가 )","","강동구 교통행정과","강동구 교통행정과"
"758","강동구_거치대_032","일반거치대","사용","일반","127.135940035","37.527590095","[127.1359400345489,37.52759009452895]","Point","","서울특별시 강동구 양재대로 1355","서울특별시 강동구 성내동 450-40","05404","다사67834764","(친환경)자전거 편의시설","16533.779957","2023-04-04 16:06:10","2023-04-04 16:06:10","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","지하철역|","상세위치(예, OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예, 00대)","5대","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예, O0학교 운영시간 외 이용불가 )","","강동구 교통행정과","강동구 교통행정과"
"759","강동구_거치대_033","일반거치대","사용","일반","127.135951440","37.527572103","[127.13595143958001,37.52757210253143]","Point","","서울특별시 강동구 양재대로 1355","서울특별시 강동구 성내동 450-40","05404","다사67834764","(친환경)자전거 편의시설","16535.290137","2023-04-04 16:08:29","2023-04-04 16:08:29","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","지하철역|","상세위치(예, OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예, 00대)","50대","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예, O0학교 운영시간 외 이용불가 )","","강동구 교통행정과","강동구 교통행정과"
"765","강동구_거치대_039","일반거치대","사용","일반","127.144186486","37.551077527","[127.14418648606794,37.55107752731388]","Point","","서울특별시 강동구 양재대로 1634","서울특별시 강동구 명일동 312-106","05266","다사68575025","(친환경)자전거 편의시설","16999.486280","2023-04-04 16:18:52","2023-04-04 16:18:52","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","지하철역|","상세위치(예, OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예, 00대)","15대","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예, O0학교 운영시간 외 이용불가 )","","강동구청 교통행정과","강동구청 교통행정과"
"766","강동구_거치대_040","일반거치대","사용","일반","127.144186422","37.551091047","[127.14418642179439,37.55109104743532]","Point","","서울특별시 강동구 양재대로 1634","서울특별시 강동구 명일동 312-106","05266","다사68575025","(친환경)자전거 편의시설","16999.375984","2023-04-04 16:20:22","2023-04-04 16:20:22","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","지하철역|","상세위치(예, OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예, 00대)","10대","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예, O0학교 운영시간 외 이용불가 )","","강동구청 교통행정과","강동구청 교통행정과"
"767","강동구_거치대_041","일반거치대","사용","일반","127.144180804","37.551082017","[127.14418080415072,37.55108201696337]","Point","","서울특별시 강동구 양재대로 1634","서울특별시 강동구 명일동 312-106","05266","다사68575025","(친환경)자전거 편의시설","16998.885239","2023-04-04 16:31:14","2023-04-04 16:31:14","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","지하철역|","상세위치(예, OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예, 00대)","15대","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예, O0학교 운영시간 외 이용불가 )","","강동구청 교통행정과","강동구청 교통행정과"
"768","강동구_거치대_042","일반거치대","사용","일반","127.143945444","37.551770844","[127.14394544375779,37.55177084350105]","Point","","서울특별시 강동구 양재대로 1637","서울특별시 강동구 명일동 303-1","05257","다사68545032","(친환경)자전거 편의시설","16970.255242","2023-04-04 16:32:41","2023-04-04 16:32:41","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","지하철역|","상세위치(예, OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예, 00대)","10대","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예, O0학교 운영시간 외 이용불가 )","","강동구청 교통행정과","강동구청 교통행정과"
"769","강동구_거치대_043","일반거치대","사용","일반","127.143891647","37.551180294","[127.14389164729918,37.55118029421604]","Point","","서울특별시 강동구 양재대로 1631","서울특별시 강동구 명일동 303-1","05257","다사68545026","(친환경)자전거 편의시설","16969.301291","2023-04-04 16:34:05","2023-04-04 16:34:05","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","지하철역|","상세위치(예, OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예, 00대)","5대","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예, O0학교 운영시간 외 이용불가 )","","강동구청 교통행정과","강동구청 교통행정과"
